Encoded_Value,Original_Label
49,Maruti Alto
25,Hyundai Grand
31,Hyundai i20
11,Ford Ecosport
63,Maruti Wagon R
30,Hyundai i10
28,Hyundai Venue
60,Maruti Swift
29,Hyundai Verna
72,Renault Duster
69,Mini Cooper
52,Maruti Ciaz
65,Mercedes-Benz C-Class
88,Toyota Innova
50,Maruti Baleno
61,Maruti Swift Dzire
91,Volkswagen Vento
23,Hyundai Creta
18,Honda City
41,Mahindra Bolero
73,Renault KWID
15,Honda Amaze
26,Hyundai Santro
48,Mahindra XUV500
43,Mahindra KUV100
58,Maruti Ignis
7,Datsun RediGO
45,Mahindra Scorpio
44,Mahindra Marazzo
10,Ford Aspire
13,Ford Figo
62,Maruti Vitara
83,Tata Tiago
90,Volkswagen Polo
37,Kia Seltos
51,Maruti Celerio
6,Datsun GO
17,Honda CR-V
42,Mahindra KUV
20,Honda Jazz
2,BMW 3
0,Audi A4
84,Tata Tigor
57,Maruti Ertiga
82,Tata Safari
86,Toyota Fortuner
46,Mahindra Thar
80,Tata Hexa
38,Land Rover Rover
56,Maruti Eeco
1,Audi A6
67,Mercedes-Benz E-Class
34,Jaguar XF
39,MG Hector
19,Honda Civic
32,Isuzu D-Max
3,BMW 5
4,BMW X1
76,Skoda Rapid
14,Ford Freestyle
77,Skoda Superb
81,Tata Nexon
47,Mahindra XUV300
54,Maruti Dzire VXI
21,Honda WR-V
64,Maruti XL6
74,Renault Triber
85,Toyota Camry
24,Hyundai Elantra
89,Toyota Yaris
59,Maruti S-Presso
53,Maruti Dzire LXI
22,Hyundai Aura
92,Volvo XC
16,Honda CR
70,Nissan Kicks
27,Hyundai Tucson
79,Tata Harrier
5,BMW X3
12,Ford Endeavour
75,Skoda Octavia
35,Jeep Compass
66,Mercedes-Benz CLS
8,Datsun redi-GO
87,Toyota Glanza
55,Maruti Dzire ZXI
71,Nissan X-Trail
33,Jaguar XE
93,Volvo XC60
40,Mahindra Alturas
78,Tata Altroz
36,Kia Carnival
68,Mercedes-Benz GL-Class
9,Force Gurkha
